joint_name,q_value,delta_q,ee_x,ee_y,ee_z,delta_ee_x,delta_ee_y,delta_ee_z,roll,pitch,yaw
jnt2,1.1099698005,-0.16499999999999998,0.2876871230633847,-0.23012879262650085,-0.043052396555048056,-0.02502916714315301,0.020022266828427032,-0.05197719829986536,-1.5708021429932841,0.16499473510393803,2.4668989286954686
jnt2,1.1149698005000002,-0.15999999999999998,0.2866564610294439,-0.22930431078646413,-0.04489112677728224,-0.026059829177093763,0.020846748668463755,-0.05381592852209954,-1.5708021686581919,0.15999473510425077,2.4668989744406065
jnt2,1.1199698005,-0.155,0.2856186325899159,-0.22847409640224642,-0.04672323473514353,-0.027097657616621806,0.021676963052681464,-0.05564803647996083,-1.570802194534229,0.1549947351045653,2.466899020279316
jnt2,1.1249698005000002,-0.15,0.2845736636904571,-0.22763817022916433,-0.04854867462602849,-0.02814262651608057,0.022512889225763555,-0.057473476370845794,-1.5708022206221837,0.1499947351048807,2.466899066213664
jnt2,1.1299698005,-0.145,0.28352158045523596,-0.22679655316532857,-0.05036740081403526,-0.02919470975130173,0.023354506289599314,-0.059292202558852564,-1.5708022469228728,0.14499473510519767,2.4668991122457236
jnt2,1.1349698005000002,-0.13999999999999999,0.28246240918627835,-0.22594926625112174,-0.052179367831103385,-0.030253881020259332,0.024201793203806138,-0.061104169575920686,-1.5708022734371359,0.1399947351055153,2.4668991583775766
jnt2,1.1399698005,-0.13499999999999998,0.281396176362811,-0.22509633066867285,-0.05398453037815215,-0.03132011384372668,0.02505472878625503,-0.06290933212296945,-1.5708023001658373,0.13499473510583426,2.466899204611312
jnt2,1.1449698005000002,-0.12999999999999998,0.28032290864059883,-0.22423776774132664,-0.055782843326211695,-0.03239338156593885,0.02591329171360124,-0.064707645071029,-1.5708023271098681,0.12999473510615478,2.4668992509490297
jnt2,1.1499698005,-0.12499999999999997,0.27924263285127915,-0.223373598933112,-0.05757426171755206,-0.033473657355258535,0.02677746052181587,-0.06649906346236936,-1.5708023542701441,0.1249947351064764,2.4668992973928345
jnt2,1.1549698005,-0.12,0.27815537600169016,-0.22250384584820387,-0.05935874076680661,-0.034560914204847526,0.027647213606724008,-0.06828354251162391,-1.5708023816476062,0.11999473510679892,2.4668993439448443
