t,q_jnt,q_act_equiv,ee_solved_xyz,residual,joint_limit_margin,actuator_limit_margin_proxy
0.75,"[1.9969947292796157, 1.3592710631583522, 1.4018471842453004, -0.4261277036126655]","[3.7445991548464574, 9.061807087722348, 4.672823947484335, -1.4204256787088851]","[-0.12489622953233756, -0.2750862771506331, -0.12507004653159565]",0.00015204793082717499,0.16905281575469955,10.938192912277652
0.76,"[2.033040980352941, 1.3514539726309198, 1.4087259221922714, -0.43187306573522916]","[3.8121901000430167, 9.009693150872799, 4.695753073974238, -1.4395768857840971]","[-0.13426134116973507, -0.26946826522536815, -0.12319190166069055]",0.00015024719839905562,0.16217407780772852,10.990306849127201
0.77,"[2.069063637315369, 1.3439094307763335, 1.414617566160257, -0.43697778573666435]","[3.8797368035165363, 8.959396205175556, 4.715391887200856, -1.4565926191222145]","[-0.14356768727105945, -0.263885569962901, -0.12132544741963405]",0.00014738264976723572,0.15628243383974305,11.040603794824444
0.78,"[2.1047371168344835, 1.3366737141311495, 1.419513388093191, -0.44142303516921316]","[3.946628758362054, 8.911158094207664, 4.73171129364397, -1.4714101172307106]","[-0.15275593892574726, -0.2583736591289659, -0.11948264503120379]",0.00014345734025148464,0.15138661190680902,11.088841905792336
0.79,"[2.1397427619715574, 1.3297812308438062, 1.4234280720361099, -0.4452055371223066]","[4.012268445474512, 8.865208205625375, 4.744760240120367, -1.4840184570743553]","[-0.16176787580307178, -0.25296733702965923, -0.11767522419703783]",0.000138513110866914,0.14747192796389008,11.134791794374625
0.8,"[2.1737779819516825, 1.3232638524933102, 1.4263985366018002, -0.44833689940066374]","[4.076088471688886, 8.82175901662207, 4.754661788672667, -1.494456331335546]","[-0.17054697169503608, -0.24770040787853062, -0.11591456619045107]",0.0001326304491888656,0.1445014633981998,11.17824098337793
0.81,"[2.206564219882404, 1.3171499784121348, 1.4284819139876979, -0.45084275782284483]","[4.137566510186394, 8.780999856080898, 4.761606379958993, -1.5028091927428162]","[-0.1790389833746816, -0.2426053341224226, -0.11421158643089149]",0.00012592316240983572,0.1424180860123021,11.219000143919102
0.8200000000000001,"[2.237853253542928, 1.3114634474560063, 1.4297529142777718, -0.45276149000500754]","[4.196237115212691, 8.74308964970671, 4.765843047592573, -1.5092049666833585]","[-0.18719254056977647, -0.23771288989978573, -0.11257661760590443]",0.00011852961955657163,0.14114708572222812,11.25691035029329
0.8300000000000001,"[2.2674315666866747, 1.3062224655633905, 1.4303007154377774, -0.45414248271785934]","[4.251699918782439, 8.708149770422605, 4.767669051459258, -1.513808275726198]","[-0.19495973463344887, -0.2330518100824186, -0.11101929255663046]",0.00011060193429001865,0.1405992845622226,11.291850229577395
0.84,"[2.295122771176928, 1.3014387351581818, 1.430225461832151, -0.45504407647681555]","[4.3036241724675195, 8.676258234387879, 4.767418206107171, -1.5168135882560518]","[-0.20229670412963438, -0.22864843608437532, -0.10954842677771617]",0.00010229481319105011,0.14067453816784892,11.323741765612121
