step,time,policy,x_des,y_des,z_des,x_act,y_act,z_act,ee_err_norm_true,ee_err_norm_measured,roll_des,roll_act,pitch_des,pitch_act,ee_hf_norm,saturation_step,joint_limit_flag,actuator_limit_flag,ncon,tau_j1,tau_j2,tau_j3,tau_j4,W_Fx,W_Fy,W_Fz,W_Mroll,W_Mpitch
52,0.5300000000000002,zero,0.23311219348275197,-0.2101326839103488,-0.1033775613034496,0.2361222509224929,-0.20739833954907086,-0.10187357736884747,0.004335787420081098,0.005154139805352439,-1.570803106772076,-1.5708030013877952,-5.264885037714606e-06,-0.013990885701386846,0.0004049432974847358,0,0,0,0,0.28274493063603195,-6.80703610437522,-1.2738107911135481,0.040853097188035176,0.0,0.0,0.0,0.0,0.0
53,0.5400000000000003,zero,0.232263416283136,-0.21064195023011842,-0.10354731674337281,0.23544800207852445,-0.20804066879838107,-0.10194618899919478,0.004412693262449607,0.005498495629836743,-1.570803106772076,-1.5708029910611367,-5.264885037714606e-06,-0.013764314635531516,0.0004283318656865069,0,0,0,0,0.2465383795364975,-6.799586683439704,-1.254184928692202,0.030379812815225907,0.0,0.0,0.0,0.0,0.0
54,0.5500000000000003,zero,0.2313915552,-0.21116506688000003,-0.10372168896000002,0.2347279294578476,-0.20867741553129038,-0.10201929943715504,0.0044964355336930455,0.005265222249388311,-1.570803106772076,-1.5708029803770152,-5.264885037714606e-06,-0.013717420688712068,0.0004279581164145615,0,0,0,0,0.25258165836422863,-6.75209153533058,-1.2270778299512082,0.02317915152759345,0.0,0.0,0.0,0.0,0.0
55,0.5600000000000003,zero,0.23049663215206398,-0.21170202070876162,-0.10390067356958721,0.23394736279618855,-0.20929826886820266,-0.10208932469908016,0.004578924504725771,0.006176520027357406,-1.570803106772076,-1.5708029693080345,-5.264885037714606e-06,-0.013940769127315455,0.00040250416254399604,0,0,0,0,0.24464991625310606,-6.7571564730561455,-1.2371647409699662,0.030517541753001996,0.0,0.0,0.0,0.0,0.0
56,0.5700000000000003,zero,0.22957868196044798,-0.21225279082373122,-0.10408426360791041,0.23313031532980144,-0.20992995087739266,-0.1021652380036471,0.004657504082277256,0.006351752993556009,-1.570803106772076,-1.5708029581169254,-5.264885037714606e-06,-0.014177339170416081,0.00037869860608425593,0,0,0,0,0.28150641696672374,-6.719917682436809,-1.2062475290293544,0.01950308621585621,0.0,0.0,0.0,0.0,0.0
57,0.5800000000000003,zero,0.22863775216435198,-0.21281734870138883,-0.10427244956712961,0.23226965799779833,-0.2105723315971182,-0.1022557994663984,0.00472204610420828,0.006637215215362526,-1.570803106772076,-1.5708029465950797,-5.264885037714606e-06,-0.014496520310915972,0.0003496713913355949,0,0,0,0,0.28771219604784304,-6.720565864917621,-1.2166425575868611,0.026815975648962653,0.0,0.0,0.0,0.0,0.0
58,0.5900000000000003,zero,0.22767390283673597,-0.21339565829795842,-0.10446521943265281,0.2313672647267434,-0.21121869521175654,-0.10236990019281261,0.004771839587212613,0.006424469069628029,-1.570803106772076,-1.5708029346650356,-5.264885037714606e-06,-0.014962911475650209,0.00031232696820386244,0,0,0,0,0.2931070564999591,-6.685336421769536,-1.1925484744122201,0.020939717064168493,0.0,0.0,0.0,0.0,0.0
59,0.6000000000000003,zero,0.22668720639999995,-0.21398767616000003,-0.10466255872,0.23042260196057834,-0.2118547665652134,-0.10251167104197914,0.004809241222582165,0.006698845157822688,-1.570803106772076,-1.5708029226267568,-5.264885037714606e-06,-0.015608903057169554,0.0002623756652721884,0,0,0,0,0.269185757222162,-6.659394602214458,-1.179158224765037,0.018470680064392016,0.0,0.0,0.0,0.0,0.0
60,0.6100000000000003,zero,0.22567774744166397,-0.21459335153500164,-0.1048644505116672,0.2294313798434143,-0.21248347531756617,-0.10267751566125768,0.004829494580212872,0.006982515277853434,-1.570803106772076,-1.5708029108485915,-5.264885037714606e-06,-0.01634052234126293,0.00020470510131734792,0,0,0,0,0.2909923504425363,-6.684898368335466,-1.1825570093577242,0.018516678837428024,0.0,0.0,0.0,0.0,0.0
61,0.6200000000000003,zero,0.22464562253004797,-0.21521262648197123,-0.10507087549399041,0.22837326450021853,-0.21309490137741705,-0.10285832502401857,0.004824464100644622,0.0065905689759901175,-1.570803106772076,-1.5708028992966376,-5.264885037714606e-06,-0.017247032426086273,0.00013702036630540906,0,0,0,0,0.3068415702359812,-6.693366345147132,-1.1841574117101559,0.02095659242480155,0.0,0.0,0.0,0.0,0.0
