t,pos_err_norm,sv1,sv2,sv3,lambda,xdot_cmd_x,xdot_cmd_y,xdot_cmd_z,qdot_cmd_1,qdot_cmd_2,qdot_cmd_3,qdot_cmd_4,tau_1,tau_2,tau_3,tau_4,joint_margin_min,act_margin_min
0.79,0.3909680799213828,0.5560415320192946,0.26392601030968543,0.1946237819866796,0.08,-2.021511668410204,0.23351916532417288,0.08277298345604309,3.3976230295186354,-0.23701969203655038,3.51623568793571,-2.4566561025164373,10.0,0.05619267962398222,10.0,-3.300423030194482,0.04978935378249516,0.1656311792749836
0.792,0.3922038018676498,0.555193968130309,0.2633479391234523,0.19485274645129666,0.08,-2.0201666381175616,0.23350012306556167,0.08134246152236488,3.4075290330574433,-0.22134579731301765,0.0,-2.4498781630603967,10.0,0.4564793533811011,-1.544280715185206,-1.9208624583462615,0.05021325911394747,0.16704419704649087
0.794,0.3935054559121706,0.5544522917095163,0.26301180631411397,0.19508388807066415,0.08,-2.019629457193922,0.2330968808466336,0.07984848385688384,3.411276203024158,-0.2086727967839622,3.4983720496027653,-2.4470487086156907,10.0,-0.050502257135748074,10.0,-1.7357302727263757,0.04996239088954679,0.16620796963182194
0.796,0.395060629148482,0.5536830623648511,0.26253628323609357,0.19529272484541893,0.08,-2.0188691968606474,0.23178686353688271,0.07836202188834213,3.413680483521874,-0.19462864456818574,0.0,-2.4426781228108188,10.0,0.600243291266592,-1.1142793390846397,-2.682985069417448,0.0505986100009872,0.1683287000032907
0.798,0.3965246286970445,0.5529605785984295,0.2622622966005434,0.19552566891606027,0.08,-2.018644845113206,0.23026710621889862,0.07674715115790208,3.411607491381039,-0.18235409870380856,3.4864899366283977,-2.441455408258386,10.0,0.06662389249942624,10.0,-1.6288752449805373,0.050813743376079135,0.1690458112535964
0.8,0.39756706484420296,0.5524728185583371,0.2621997341311897,0.19567314395587726,0.08,-2.0181924666597855,0.2296695123907314,0.07521103151740592,3.41097018391754,-0.1753912031885685,3.4827932719544283,-2.4402714578600366,10.0,1.0190233859831404,10.0,-5.178359981923979,0.05095517415522144,0.16951724718407135
0.802,0.3984065387139355,0.551621807662871,0.26174685844226636,0.19591931224692521,0.08,-2.016146841399058,0.22880176846575462,0.07336881489842656,3.41746815198152,-0.15994806011543494,3.471144315525601,-2.4332364446787134,10.0,1.0368016501352706,10.0,-1.0644865054958796,0.05038097155955179,0.16760323853183934
0.804,0.3989899158220359,0.5508095038001277,0.2612046360177659,0.1961221941711865,0.08,-2.0133270615923546,0.22807014891574506,0.07161701181863418,3.427255862251218,-0.14456774771492314,3.457213833960861,-2.4233127904290197,10.0,1.6290241537873982,10.0,-2.825069580054642,0.04938643416757982,0.16428811389193232
0.806,0.3999649927117278,0.549863367519683,0.26044369817325397,0.19634259631554302,0.08,-2.009478831890716,0.2271617401594807,0.0697913442608803,3.4412960419905834,-0.12560391280499114,0.0,-2.4094861361439333,10.0,1.9257542051933738,-4.052150638434037,-2.017119771370095,0.04952569221766234,0.1647523073922077
0.808,0.4012802676934443,0.5489979082098825,0.2599419313265245,0.19658867339038705,0.08,-2.006549521056292,0.2258158075590354,0.0678880059273497,3.448428821443014,-0.10922872598192558,0.0,-2.4002724938766042,10.0,0.931391308811822,0.40964363119034775,-0.8787975013272447,0.050090455546599744,0.1666348518219989
0.81,0.4028709383023275,0.5483218904127981,0.2597034846078012,0.1968000530036758,0.08,-2.0044354339448294,0.2242049947333648,0.06604289016952855,3.4494498538857226,-0.097340674415762,3.415859897568507,-2.394909858034005,10.0,0.7099062249996502,10.0,-2.3111447862313486,0.05040806305923384,0.16769354353077937
0.812,0.40462425180896017,0.5478562917691571,0.25968474971700556,0.1969420830752561,0.08,-2.0029453596083804,0.2223743763923307,0.0642214722376159,3.4454889246047125,-0.09026243377461816,3.4106397683150957,-2.3922139356185754,10.0,1.6984031093563692,10.0,-5.2013334973382594,0.0510209631384162,0.1697365437947207
0.8140000000000001,0.40593224805637357,0.5473655723001684,0.25974523568532953,0.19710364566134095,0.08,-2.0016731388485502,0.22016841354976185,0.062157200862525366,3.438589985194416,-0.083316323924831,3.4065444589338205,-2.390813607949128,10.0,2.2601893369964587,10.0,-4.410115310453871,0.05148502391302445,0.17128341304341443
0.8160000000000001,0.40698087890606777,0.5465831112882608,0.2594720901901154,0.19733791030069375,0.08,-1.9988334291985144,0.21796690285578268,0.059869897597588845,3.439220358568726,-0.06957747313008834,3.3951929351928474,-2.3836602927043824,10.0,2.173516261778559,10.0,-1.3239274872627997,0.051313040090837925,0.17071013363612586
